,data,hora,time_casa,time_visitante,casa_ganha,empate,visitante_ganha,maisq,menosq,simodd,nãoodd
66,1900-02-10,17:00,Cádiz CF,Girona FC,2.77,3.2,2.65,2.15,1.7,1.83,1.91
67,1900-02-11,12:15,UD Almería,Bétis,2.9,3.3,2.5,2.07,1.75,1.8,1.95
68,1900-02-11,14:30,Sevilha FC,Mallorca,1.83,3.35,4.85,2.55,1.52,2.27,1.6
69,1900-02-11,17:00,Valencia,Athletic Bilbao,2.77,3.25,2.62,2.12,1.72,1.82,1.93
70,1900-02-12,10:00,Getafe CF,Rayo Vallecano,2.92,2.85,2.82,2.87,1.42,2.22,1.62
71,1900-02-12,12:15,Celta de Vigo,Atlético de Madrid,3.65,3.1,2.2,2.55,1.52,2.07,1.7
72,1900-02-12,14:30,Real Valladolid,Osasuna,2.62,3.2,2.82,2.25,1.65,1.88,1.85
73,1900-02-12,17:00,Villarreal CF,Barcelona,3.65,3.8,1.95,1.75,2.1,1.65,2.15
74,1900-02-13,17:00,Espanyol,Real Sociedad,3.3,3.2,2.3,2.42,1.57,2.05,1.72
75,1900-02-15,17:00,Real Madrid,Elche,1.15,7.8,19.5,1.4,3.0,2.15,1.65
77,1900-02-01,15:30,Audax Rio RJ,Bangu,2.72,2.8,2.82,2.55,1.45,2.05,1.7
78,1900-02-01,19:00,Botafogo-RJ,Nova Iguaçu,1.35,4.35,9.25,1.93,1.78,2.32,1.53
79,1900-02-01,21:10,Flamengo,Boavista-RJ,1.22,5.3,13.5,1.62,2.15,2.27,1.57
80,1900-02-02,15:30,Madureira,Portuguesa-RJ,2.65,2.87,2.82,2.5,1.47,2.05,1.7
81,1900-02-02,19:00,Vasco da Gama,Resende,1.31,4.5,10.25,2.0,1.72,2.57,1.45
83,1900-02-01,19:00,Aimoré,São José-RS,2.77,2.92,2.65,2.75,1.4,2.27,1.57
84,1900-02-01,20:00,CE Bento Goncalves RS,Grêmio,8.75,5.0,1.31,1.98,1.75,2.72,1.4
85,1900-02-01,21:30,Brasil de Pelotas,Caxias,2.67,2.9,2.77,2.75,1.4,2.25,1.57
86,1900-02-02,16:30,Internacional,Ypiranga-RS,1.36,4.45,8.25,2.0,1.72,2.5,1.47
88,1900-01-31,20:00,Ferroviário,Ceará,6.1,3.6,1.55,1.83,1.78,1.87,1.75
90,1900-01-31,19:00,Rio Branco-ES,Estrela do Norte ES,2.82,2.95,2.45,2.07,1.6,,
91,1900-02-21,21:30,Independiente del Valle,Flamengo,3.15,3.5,2.25,2.0,1.82,1.78,1.98
93,1900-02-08,21:00,CA Nacional Potosi,El Nacional,1.83,3.75,3.75,1.7,2.05,1.65,2.12
94,1900-02-09,21:00,CA Boston River,Zamora FC,1.88,2.87,5.0,2.12,1.65,1.85,1.87
95,1900-02-21,21:00,Curico Unido,Cerro Porteno,2.6,3.1,2.7,2.3,1.55,1.98,1.75
96,1900-02-22,21:30,Carabobo FC,Atlético-MG,5.6,3.65,1.6,1.98,1.75,2.0,1.72
97,1900-02-23,19:00,Magallanes,Always Ready,1.87,3.35,4.1,1.75,1.98,1.65,2.12
98,1900-02-23,21:00,Deportivo Maldonado,Fortaleza,3.2,3.2,2.2,2.2,1.6,1.93,1.78
99,1900-02-23,21:00,Universidad Catolica Quito,Millonarios FC,2.1,3.2,3.55,2.15,1.65,1.9,1.82
100,1900-02-07,21:00,Sport Huancayo,Nacional Asuncion,1.85,3.4,4.1,1.93,1.78,1.8,1.91
101,1900-02-08,21:00,CA Nacional Potosi,El Nacional,1.83,3.75,3.75,1.7,2.05,1.65,2.12
102,1900-02-09,21:00,CA Boston River,Zamora FC,1.88,2.87,5.0,2.12,1.65,1.85,1.87
103,1900-02-21,21:00,Curico Unido,Cerro Porteno,2.6,3.1,2.7,2.3,1.55,1.98,1.75
104,1900-02-22,21:30,Carabobo FC,Atlético-MG,5.6,3.65,1.6,1.98,1.75,2.0,1.72
105,1900-02-23,19:00,Magallanes,Always Ready,1.87,3.35,4.1,1.75,1.98,1.65,2.12
106,1900-02-23,21:00,Deportivo Maldonado,Fortaleza,3.2,3.2,2.2,2.2,1.6,1.93,1.78
107,1900-02-23,21:00,Universidad Catolica Quito,Millonarios FC,2.1,3.2,3.55,2.15,1.65,1.9,1.82
108,1900-02-14,17:00,AC Milan,Tottenham,2.22,3.45,3.2,1.85,1.95,1.65,2.15
109,1900-02-14,17:00,Paris Saint Germain,Bayern Munique,2.27,3.7,2.92,1.47,2.7,1.4,2.82
110,1900-02-15,17:00,Club Brugge KV,SL Benfica,3.5,3.6,2.05,1.72,2.15,1.6,2.25
111,1900-02-15,17:00,Borussia Dortmund,Chelsea,2.52,3.5,2.72,1.78,2.05,1.62,2.22
112,1900-02-21,17:00,Liverpool,Real Madrid,2.1,3.6,3.35,1.62,2.3,1.52,2.45
113,1900-02-21,17:00,Eintracht Frankfurt,Napoli,2.77,3.55,2.47,1.7,2.18,1.53,2.4
114,1900-02-22,17:00,RB Leipzig,Manchester City,4.1,3.95,1.82,1.62,2.3,1.57,2.3
115,1900-02-22,17:00,Inter de Milão,FC Porto,1.85,3.7,4.2,1.88,1.93,1.78,1.98
116,1900-02-14,17:00,AC Milan,Tottenham,2.22,3.45,3.2,1.85,1.95,1.65,2.15
117,1900-02-14,17:00,Paris Saint Germain,Bayern Munique,2.27,3.7,2.92,1.47,2.7,1.4,2.82
118,1900-02-15,17:00,Club Brugge KV,SL Benfica,3.5,3.6,2.05,1.72,2.15,1.6,2.25
119,1900-02-15,17:00,Borussia Dortmund,Chelsea,2.52,3.5,2.72,1.78,2.05,1.62,2.22
120,1900-02-21,17:00,Liverpool,Real Madrid,2.1,3.6,3.35,1.62,2.3,1.52,2.45
121,1900-02-21,17:00,Eintracht Frankfurt,Napoli,2.77,3.55,2.47,1.7,2.18,1.53,2.4
122,1900-02-22,17:00,RB Leipzig,Manchester City,4.1,3.95,1.82,1.62,2.3,1.57,2.3
123,1900-02-22,17:00,Inter de Milão,FC Porto,1.85,3.7,4.2,1.88,1.93,1.78,1.98
125,1900-02-16,14:45,FC Shakhtar Donetsk,Rennes,3.1,3.45,2.3,1.93,1.87,1.72,2.05
126,1900-02-16,14:45,AFC Ajax,1. FC Union Berlin,1.75,3.7,4.85,1.87,1.95,1.78,1.98
127,1900-02-16,14:45,Salzburg,Roma,2.72,3.4,2.57,1.9,1.91,1.7,2.07
128,1900-02-16,17:00,Juventus FC,Nantes,1.39,4.8,8.25,1.88,1.93,2.22,1.62
129,1900-02-16,17:00,Sporting CP,FC Midtjylland,1.39,4.9,7.8,1.62,2.32,1.85,1.88
