,data,hora,time_casa,time_visitante,casa_ganha,empate,visitante_ganha,maisq,menosq,simodd,nãoodd
188,1900-02-04,12:00,Reading,Watford,2.8,3.25,2.6,2.18,1.7,1.87,1.87
189,1900-02-04,12:00,Swansea City,Birmingham,1.9,3.75,3.9,2.05,1.78,1.93,1.82
190,1900-02-06,17:00,Blackburn Rovers,Wigan,1.95,3.5,3.95,2.05,1.78,1.87,1.88
191,1900-02-21,16:45,Rotherham,Sunderland,2.87,3.4,2.45,2.0,1.82,1.75,2.0
192,1900-02-01,16:45,Oxford Utd,Barnsley FC,2.55,3.35,2.62,1.93,1.82,1.72,2.0
193,1900-02-04,12:00,Sheffield Wednesday,Plymouth Argyle,1.72,3.7,4.55,2.0,1.75,1.93,1.78
194,1900-02-04,12:00,Derby County,Morecambe FC,1.32,4.75,10.0,1.65,2.15,2.02,1.7
195,1900-02-04,12:00,Bolton,Cheltenham,1.5,4.1,6.2,1.83,1.91,1.93,1.78
196,1900-02-04,12:00,Bristol Rovers,MK Dons,2.12,3.5,3.2,1.88,1.85,1.72,2.0
197,1900-02-04,12:00,Port Vale,Wycombe,2.52,3.35,2.67,2.05,1.72,1.82,1.88
198,1900-02-04,12:00,Cambridge United,Ipswich Town,6.1,4.25,1.5,1.78,1.98,1.91,1.8
199,1900-02-04,12:00,Portsmouth FC,Barnsley FC,2.32,3.35,2.95,1.91,1.83,1.7,2.02
200,1900-02-04,12:00,Exeter City,Charlton,2.37,3.2,3.0,1.98,1.78,1.72,2.0
201,1900-02-04,12:00,Accrington Stanley,Lincoln City,2.27,3.2,3.15,1.95,1.78,1.72,2.0
202,1900-02-04,12:00,Fleetwood Town,Burton Albion,2.1,3.35,3.4,2.02,1.75,1.82,1.88
203,1900-02-04,12:00,Forest Green Rovers,Peterborough,3.75,3.65,1.9,1.78,1.95,1.7,2.05
204,1900-02-04,12:00,Oxford Utd,Shrewsbury,1.85,3.45,4.2,1.91,1.83,1.78,1.93
