,data/hora,maisq25,menosq25,casa_ganha,empate,visitante_ganha,time_casa,time_visitante
77,21:30,3.1,1.29,2.9,2.6,2.6,Brasil de Pelotas,SER Caxias do Sul
78,21:30,2.2,1.55,8.0,4.0,1.4,Barcelona Futebol Clube,Bahia
79,21:30,2.5,1.44,1.7,3.1,5.0,Maringa,Cascavel PR
80,21:30,1.28,3.2,1.03,10.0,25.0,Huracan,CSD Yupanqui
81,21:30,2.2,1.55,2.1,3.0,3.0,Maldonado Capital,Maldonado Interior
82,21:35,2.2,1.6,5.0,3.25,1.7,Mirassol,Palmeiras
83,22:00,2.5,1.44,1.5,3.25,6.0,Comunicaciones,Coban Imperial
84,22:05,1.85,1.8,1.85,3.25,3.5,Venados FC,Raya2
85,22:30,2.05,1.65,4.5,3.25,1.7,Vida,CD Olimpia
86,23:05,1.8,1.9,2.05,3.4,3.1,Atlas,Toluca
87,Amanhã 05:00,2.05,1.65,2.7,3.0,2.4,Dewa United FC,Madura Utd
88,Amanhã 05:00,2.0,1.68,2.2,3.0,3.0,PS TIRA,Persita Tangerang
89,Amanhã 06:00,2.2,1.55,2.25,3.0,2.9,Persis Solo,Bhayangkara FC
90,Amanhã 08:00,1.82,1.82,1.34,4.25,7.0,Rajasthan United Football Club,Sudeva FC
91,Amanhã 08:45,3.25,3.25,1.95,Hapoel Bikat Hayarden,Hapoel Kfar Shelem,,
92,Amanhã 09:00,2.05,1.65,3.25,3.0,2.1,Atletico Platense (Res),CA Independiente (Res)
93,Amanhã 09:00,2.0,1.68,2.1,3.0,3.0,CA Col Santa Fe (Res),Godoy Cruz (Res)
94,Amanhã 09:00,2.05,1.65,1.55,3.5,5.0,FK Kukesi,KF Apolonia Fier
95,Amanhã 09:00,1.55,2.2,1.05,9.0,25.0,KF Tirana,KS Lushnja
96,Amanhã 09:25,2.5,1.44,1.55,3.25,5.0,Al-Quadisiya (KSA),Najran SC
97,Amanhã 09:55,2.5,1.44,3.5,2.9,2.0,Al Jabalain,Al Faisaly ( KSA )
98,Amanhã 10:00,2.0,1.7,2.1,3.2,3.1,Abha,Al-Khaleej Saihat
99,Amanhã 10:00,2.2,1.55,1.22,4.75,12.0,Sportive De Tunis,CA Bizertin
