20:00,3.0,1.3,2.7,2.7,2.6,Não sera,Barretos SP,Sao Jose EC SP,,,
20:00,2.1,1.6,1.5,3.5,5.5,Será Disponibilizado Ao Vivo,Marilia,Audax SP,,,
20:00,1.6,2.1,1.22,5.0,8.0,Será Disponibilizado Ao Vivo,Antigua GFC,Achuapa FC,,,
20:00,2.2,1.55,2.7,2.8,2.3,Será Disponibilizado Ao Vivo,Tlaxcala F.C,Alebrijes De Oaxaca,,,
20:00,2.3,1.5,2.15,2.8,3.25,Será Disponibilizado Ao Vivo,Clube Sociedade Esportiva,Murici,,,
20:15,1.09,5.5,1.02,12.0,25.0,Será Disponibilizado Ao Vivo,Sampaio Corrêa,Sao Jose MA,,,
20:30,2.1,1.6,1.6,3.25,5.0,Será Disponibilizado Ao Vivo,Aparecidense Go,Morrinhos,,,
20:30,2.5,1.44,1.65,3.0,5.0,Será Disponibilizado Ao Vivo,Anapolis GO,Goiania EC,,,
20:30,2.3,1.5,2.15,2.8,3.25,Será Disponibilizado Ao Vivo,CE Operario Varzea-Grandense,Nova Mutum,,,
20:30,2.7,1.38,5.5,3.0,1.6,Será Disponibilizado Ao Vivo,CS Paraibano,Campinense,,,
20:45,1.6,2.1,1.12,7.5,20.0,Será Disponibilizado Ao Vivo,Fortaleza,FC Atletico Cearense,,,
21:00,2.3,1.5,2.35,2.8,3.1,Será Disponibilizado Ao Vivo,Academia Futebol Clube,CE Dom Bosco,,,
21:00,1.72,1.95,2.0,3.25,3.0,Será Disponibilizado Ao Vivo,Aucas,LDU,,,
21:10,1.5,2.3,1.08,8.0,25.0,Será Disponibilizado Ao Vivo,Flamengo,Boavista RJ,,,
21:15,1.85,1.8,2.5,3.0,2.5,Não sera,Lavalleja Capital,Canelones Interior,,,
21:30,3.1,1.29,2.9,2.6,2.6,Será Disponibilizado Ao Vivo,Brasil de Pelotas,SER Caxias do Sul,,,
21:30,2.2,1.55,8.0,4.0,1.4,Será Disponibilizado Ao Vivo,Barcelona Futebol Clube,Bahia,,,
21:30,2.5,1.44,1.7,3.1,5.0,Será Disponibilizado Ao Vivo,Maringa,Cascavel PR,,,
21:30,1.28,3.2,1.03,10.0,25.0,Será Disponibilizado Ao Vivo,Huracan,CSD Yupanqui,,,
21:30,2.2,1.55,2.1,3.0,3.0,Não sera,Maldonado Capital,Maldonado Interior,,,
21:35,2.2,1.6,5.0,3.25,1.7,Será Disponibilizado Ao Vivo,Mirassol,Palmeiras,,,
22:00,2.5,1.44,1.5,3.25,6.0,Será Disponibilizado Ao Vivo,Comunicaciones,Coban Imperial,,,
22:05,1.85,1.8,1.85,3.25,3.5,Será Disponibilizado Ao Vivo,Venados FC,Raya2,,,
22:30,2.05,1.65,4.5,3.25,1.7,Será Disponibilizado Ao Vivo,Vida,CD Olimpia,,,
23:05,1.8,1.9,2.05,3.4,3.1,Será Disponibilizado Ao Vivo,Atlas,Toluca,,,
Amanhã 05:00,2.05,1.65,2.7,3.0,2.4,Será Disponibilizado Ao Vivo,Dewa United FC,Madura Utd,,,
Amanhã 05:00,2.0,1.68,2.2,3.0,3.0,Será Disponibilizado Ao Vivo,PS TIRA,Persita Tangerang,,,
Amanhã 06:00,2.2,1.55,2.25,3.0,2.9,Será Disponibilizado Ao Vivo,Persis Solo,Bhayangkara FC,,,
Amanhã 08:00,1.82,1.82,1.34,4.25,7.0,Será Disponibilizado Ao Vivo,Rajasthan United Football Club,Sudeva FC,,,
Amanhã 08:45,3.25,3.25,1.95,Hapoel Bikat Hayarden,Hapoel Kfar Shelem,,,,,,
Amanhã 09:00,2.05,1.65,3.25,3.0,2.1,Será Disponibilizado Ao Vivo,Atletico Platense (Res),CA Independiente (Res),,,
Amanhã 09:00,2.0,1.68,2.1,3.0,3.0,Será Disponibilizado Ao Vivo,CA Col Santa Fe (Res),Godoy Cruz (Res),,,
Amanhã 09:00,2.05,1.65,1.55,3.5,5.0,Será Disponibilizado Ao Vivo,FK Kukesi,KF Apolonia Fier,,,
Amanhã 09:00,1.55,2.2,1.05,9.0,25.0,Será Disponibilizado Ao Vivo,KF Tirana,KS Lushnja,,,
Amanhã 09:25,2.5,1.44,1.55,3.25,5.0,Será Disponibilizado Ao Vivo,Al-Quadisiya (KSA),Najran SC,,,
Amanhã 09:55,2.5,1.44,3.5,2.9,2.0,Será Disponibilizado Ao Vivo,Al Jabalain,Al Faisaly ( KSA ),,,
Amanhã 10:00,2.0,1.7,2.1,3.2,3.1,Será Disponibilizado Ao Vivo,Abha,Al-Khaleej Saihat,,,
Amanhã 10:00,2.2,1.55,1.22,4.75,12.0,Não sera,Sportive De Tunis,CA Bizertin,,,
Amanhã 10:00,3.1,1.29,1.75,2.9,5.0,Será Disponibilizado Ao Vivo,Club Sportif Sfaxien,US Tataouine,,,
Amanhã 10:00,2.8,1.35,7.0,3.5,1.44,Não sera,EO Sidi Bouzid,Monastir,,,
Amanhã 10:00,3.5,1.24,2.2,2.7,3.5,Será Disponibilizado Ao Vivo,ES Hammam Sousse,CS Chebba,,,
Amanhã 10:00,3.5,1.24,2.25,2.6,3.5,Será Disponibilizado Ao Vivo,AS Solimane,ES Metlaoui,,,
Amanhã 10:00,3.7,1.2,2.8,2.4,2.8,Será Disponibilizado Ao Vivo,Ben Guerdane,Club Africain,,,
Amanhã 10:00,2.7,1.38,4.0,2.8,2.0,Será Disponibilizado Ao Vivo,Stade Tunisien,Etoile Sportive Sahel,,,
Amanhã 10:00,3.2,1.28,4.5,2.8,1.9,Não sera,AS Rejiche,Olympique De Beja,,,
Amanhã 10:00,2.3,1.5,1.5,3.5,5.5,Será Disponibilizado Ao Vivo,La Viena FC,El Minya,,,
Amanhã 10:00,2.5,1.44,2.5,2.9,2.7,Não sera,Shaban M Qana,Fayoum FC,,,
Amanhã 10:00,2.7,1.38,3.25,2.8,2.2,Será Disponibilizado Ao Vivo,MS Tamia,Nasr Taaden,,,
Amanhã 10:00,1.6,3.5,4.75,Kema Aswan,Al Madina Al Monawara SC,,,,,,
Amanhã 10:30,2.5,1.44,3.25,2.8,2.15,Será Disponibilizado Ao Vivo,Gelbison Cilento SSD,Audace Cerignola,,,
Amanhã 10:30,2.0,1.68,1.65,3.25,4.75,Será Disponibilizado Ao Vivo,Manama Club,Sitra,,,
Amanhã 11:00,2.5,1.44,2.0,3.0,3.5,Será Disponibilizado Ao Vivo,Monopoli,AZ Picerno ASD,,,
Amanhã 11:00,2.0,1.7,2.7,3.0,2.5,Será Disponibilizado Ao Vivo,Kayserispor,Basaksehir,,,
Amanhã 11:00,1.65,2.1,1.47,4.2,6.0,Será Disponibilizado Ao Vivo,Konyaspor,Istanbulspor,,,
Amanhã 11:00,1.7,2.0,2.1,3.4,3.2,Será Disponibilizado Ao Vivo,Chennaiyin FC,Odisha,,,
Amanhã 11:00,1.28,3.3,2.45,4.33,2.1,Será Disponibilizado Ao Vivo,Coventry City U21,Hull City U21,,,
Amanhã 12:00,1.55,2.3,7.0,4.6,1.38,Será Disponibilizado Ao Vivo,Al-Batin,Al-Taawoun Buraidah,,,
Amanhã 12:00,1.8,1.9,1.33,4.4,8.0,Será Disponibilizado Ao Vivo,Al-Shabab (KSA),Dhamk,,,
Amanhã 12:00,5.0,3.75,1.5,Al Bidda,Al Kharitiyath,,,,,,
Amanhã 12:00,5.0,4.5,1.44,Al Mesaimeer,Al Khor,,,,,,
Amanhã 13:00,2.1,1.6,1.5,3.5,5.5,Será Disponibilizado Ao Vivo,Al Ahli,Al-Akhdoud,,,
Amanhã 14:00,1.5,2.4,3.1,3.6,1.95,Será Disponibilizado Ao Vivo,Adana Demirspor,Fenerbahce,,,
Amanhã 14:00,2.1,1.6,1.55,3.5,5.5,Será Disponibilizado Ao Vivo,A.E.L.,Akritas Chlorakas,,,
Amanhã 14:00,2.0,1.68,2.7,3.0,2.4,Será Disponibilizado Ao Vivo,Anorthosis,Omonia,,,
Amanhã 14:00,2.2,1.55,2.5,3.0,2.6,Será Disponibilizado Ao Vivo,Al Hala,Al Hidd,,,
Amanhã 15:00,1.8,1.85,1.5,4.0,5.5,Será Disponibilizado Ao Vivo,Vitoria ES,Vilavelhense FC,,,
Amanhã 15:30,2.5,1.44,2.8,2.7,2.6,Será Disponibilizado Ao Vivo,Madureira,Portuguesa RJ,,,
Amanhã 16:30,2.0,1.68,1.34,4.4,10.0,Será Disponibilizado Ao Vivo,Internacional,Ypiranga RS,,,
Amanhã 16:45,1.55,2.2,2.3,3.5,2.5,Será Disponibilizado Ao Vivo,Zulte-Waregem,Yellow-Red Mechelen,,,
Amanhã 16:45,1.5,2.3,1.5,4.5,4.5,Não sera,Maynooth University Town,Bangor Celtic,,,
Amanhã 16:45,1.65,2.05,2.7,3.25,2.25,Não sera,Glebe North,Lucan United,,,
Amanhã 17:00,2.15,1.65,2.0,3.25,3.75,Será Disponibilizado Ao Vivo,Juventus,Lazio,,,
Amanhã 17:00,1.56,2.3,1.36,5.0,8.5,Será Disponibilizado Ao Vivo,Real Madrid,Valencia,,,
Amanhã 18:30,1.75,3.25,4.0,Juventud Pinulteca FC,Deportivo Sanarate FC,,,,,,
